Time,hour,Temp,Dew,SeaP,WD,WS,rain6,area
2020-01-01 00:00:00,0,-15.234782608695651,-21.08695652173913,1036.3260869565215,187.65217391304347,-85.35652173913044,,NCP
2020-01-01 03:00:00,3,,,,,,,NCP
2020-01-01 06:00:00,6,-2.517391304347826,-16.452173913043474,1032.3434782608697,174.56521739130434,2.2695652173913046,,NCP
2020-01-01 09:00:00,9,-3.5739130434782616,-16.12173913043478,1033.082608695652,171.3913043478261,1.7260869565217392,,NCP
2020-01-01 12:00:00,12,-8.221739130434784,-16.895652173913046,1035.9652173913043,151.7391304347826,1.5217391304347823,,NCP
2020-01-01 15:00:00,15,,,,,,,NCP
2020-01-01 18:00:00,18,-11.082608695652173,-17.421739130434784,1034.517391304348,194.3913043478261,1.6521739130434783,,NCP
2020-01-01 21:00:00,21,-12.195652173913043,-17.534782608695647,1035.1913043478262,217.52173913043478,1.1521739130434785,,NCP
2020-01-02 00:00:00,0,-12.160869565217391,-17.160869565217393,1037.5782608695652,188.2608695652174,1.5043478260869565,,NCP
2020-01-02 03:00:00,3,-5.573913043478262,-15.343478260869567,1037.4347826086957,220.04347826086956,1.6826086956521735,,NCP
2020-01-02 06:00:00,6,-1.3043478260869563,-14.7,1034.0478260869565,209.3913043478261,2.1739130434782608,,NCP
2020-01-02 09:00:00,9,-2.4521739130434788,-14.186956521739134,1034.7478260869568,205.2173913043478,1.265217391304348,,NCP
2020-01-02 12:00:00,12,-7.517391304347826,-14.72173913043478,1037.3347826086956,210.82608695652175,1.382608695652174,,NCP
2020-01-02 15:00:00,15,,,,,,,NCP
2020-01-02 18:00:00,18,,,,,,,NCP
2020-01-02 21:00:00,21,,,,,,,NCP
2020-01-03 00:00:00,0,,,,,,,NCP
2020-01-03 03:00:00,3,-4.713043478260871,-13.847826086956525,1035.7434782608696,210.0,1.7565217391304353,,NCP
2020-01-03 06:00:00,6,0.5999999999999999,-12.7,1032.3391304347824,204.2173913043478,1.9739130434782608,,NCP
2020-01-03 09:00:00,9,-1.026086956521739,-12.02608695652174,1032.7782608695652,217.34782608695653,1.5391304347826087,,NCP
2020-01-03 12:00:00,12,-5.665217391304348,-12.878260869565219,1034.4826086956525,202.1304347826087,1.8826086956521737,,NCP
2020-01-03 15:00:00,15,,,,,,,NCP
2020-01-03 18:00:00,18,,,,,,,NCP
2020-01-03 21:00:00,21,-10.465217391304344,-14.995652173913046,1031.8521739130433,206.52173913043478,1.6347826086956518,,NCP
2020-01-04 00:00:00,0,-11.360869565217389,-15.473913043478257,1033.8173913043477,133.82608695652175,1.3695652173913044,,NCP
