,CS,MG,NCP,NEC,NW,SC,TP,YR,period
Temp,5.075622245268344,9.19175824175824,9.799034299034298,8.703983172216255,9.066342326404243,6.636293007769153,11.09340350877193,3.779039704524468,prelock
Temp,6.81257218280812,11.231283422459894,9.971081859317156,9.294136745607332,11.096071428571426,5.966866781017723,12.837393939393937,6.782606609077196,level1
Temp,6.097126436781613,10.714331896551723,10.88116096866097,10.68000165343915,11.996130952380952,6.423749835070577,13.554280303030303,7.088569305091045,level2
Temp,7.743987068965518,12.251875,11.841826923076926,12.525000000000002,12.441806722689082,6.213982479784374,11.306107142857142,8.714262820512825,level3
WS,0.5897441160372197,1.0554212454212455,1.1879786879786878,0.8759157509157514,0.6156022408963584,0.8885084948347992,2.3453333333333326,0.5498457682668205,prelock
WS,0.667059891107078,1.2607486631016034,1.5816947758124238,1.355056517556518,0.6966233766233769,0.8943795547569136,2.5181212121212115,0.7276134122287972,level1
WS,0.8485476011994011,2.149862068965517,1.9447649572649581,2.2154920634920647,1.390054945054945,1.1960812772133522,3.126234848484849,0.9431348940914155,level2
WS,0.7110420892494933,1.5206249999999994,1.7908653846153841,2.4683035714285717,1.3716176470588235,0.9207906558849954,2.369428571428571,0.9323717948717951,level3
