,index,period,area,hour,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
0,0,(level1),NCP,11.618556701030913,89.72920447378927,63.858978600637776,64.63913674237068,86.10705081001474,87.00024393062095,15.113376028324476,15.17774839198368,22.09048965813856,22.26587153843193,59.455910961714025,92.71867096326915,58.17720604363706,63.78846697688771,1.0068907374693497,1.014950636145383
25,6,(level1),YR,11.691666666666677,60.270797546012304,43.260483525887885,42.12652351738243,53.92317676143388,53.68372188139064,7.14617117117117,7.140613496932514,16.85960093896714,16.853394683026572,61.80974610974603,90.69950920245384,60.70817995910026,66.2442535787321,0.7945980634528207,0.7949576131687236
22,5,(level1),TP,12.105263157894743,37.41055306627437,17.302689373506965,16.589685801405285,34.170117917745195,33.86590216094393,10.915344295253828,10.881015511069862,12.011829003518748,11.853976531942639,69.2301467955604,96.4606920323476,69.20640616693254,74.1710526315791,0.6892272288619999,0.6813780988996422
17,4,(level1),SC,11.65753424657535,51.927833281834744,36.26563197656771,35.6362919402678,45.34040741003619,44.748435544430535,7.212077654434302,7.228316217189298,13.103337201046001,13.120904555351727,52.08742437938952,80.57163920654239,50.99953181897005,55.689149107617375,0.7265786370730014,0.7269376103691263
10,2,(level1),NW,11.883333333333349,101.2541455160745,61.912517006802716,61.98728956228961,118.47325800376638,117.44187044187048,16.392236842105245,16.416919191919217,24.395594125500665,24.517948717948727,64.9124565972222,98.4267759562842,63.36557377049176,68.43005877413944,1.188292638317329,1.1782124265323253
13,3,(level1),PR,11.749999999999998,41.137369965324034,27.207714576743673,27.142731395038645,36.60353578074778,35.49826620432114,6.601315578373161,6.590797546012262,12.847505608375181,12.80789543878368,57.271872663177064,86.92437983462243,55.89429181114957,60.69690584155774,0.6779894646772557,0.6797884769271803
4,1,(level1),NEC,11.870967741935482,71.07578020913239,51.0892059553349,51.421932262091666,66.21930514721092,66.84466996899035,17.51776028710085,17.583061495710975,20.109137055837564,20.194353831903676,61.28905354511209,84.84672385324791,60.83939516129037,66.02862903225798,0.857876344086022,0.858051969077589
7,8,(level2),NEC,11.87096774193549,51.410033116644186,31.29854689564069,31.43785162099815,50.80432937181666,50.9598899097422,12.083614612262338,12.216647754903544,17.932660220758123,18.215675149943277,69.79945588806844,97.06463770465233,69.104462433389,75.09506999391355,0.6235104113329912,0.628297536067434
20,12,(level2),TP,12.105263157894742,38.54016620498614,15.3921834288692,15.117721840833976,36.211329851345965,36.61884550084886,9.704446133383996,9.690237691001698,12.890588994377362,12.848822379049409,76.55526315789474,104.50716162386668,76.17049906319207,81.73650363851746,0.5795465894337353,0.5815230104246124
19,11,(level2),SC,11.657534246575349,50.194641808295,32.578517512680214,32.22571563533304,50.22049936850288,50.03523854511101,8.657592373718776,8.626792631081717,22.45937747551057,22.295153519130825,57.247750079643176,95.78282475200761,56.190802348336625,62.69392962664516,0.7033607048321971,0.7021590930562122
11,9,(level2),NW,11.883333333333349,96.9387183629509,49.31440329218104,49.56400425985093,146.50563463819705,144.92827476038352,11.840816326530607,11.928410914927769,21.79138321995466,21.76155484558043,67.91703327693176,102.03046251993612,66.23969017094012,71.58343982960601,0.713703289882061,0.7103932167461585
12,10,(level2),PR,11.749999999999998,44.250287416387955,27.543215075271114,27.528229590240862,42.92299279807947,42.60767907413206,7.640923190158256,7.625404024606398,20.469853326348893,20.439083515796074,54.911707700366634,89.04723177979375,53.51102596183923,59.85170993639868,0.7263156102671559,0.7245618287978316
