date,Unnamed: 0,hour,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
2020-01-01,7859.5,11.7967602639195,74.53493500236205,52.30278670142812,45.965005998157096,79.2581955239286,72.10152774608488,16.6935409512394,15.296149915466785,36.99697833397426,33.72566418884531,34.14933626661871,64.12738918496419,34.524606631784195,39.383521185986574,1.104221916247299,1.0169131665806923
2020-01-02,7883.5,11.7967602639195,86.44798017096626,62.32349237954496,56.609929644188504,90.26834434469394,83.29158843310817,17.176561544403253,17.00710603543,41.9169622703348,39.37535018596957,30.549228363633453,60.41860602885105,30.285189072239476,34.93368993800673,1.1771981528909123,1.139500923826401
2020-01-03,7907.5,11.7967602639195,95.82194674571039,70.6197395955669,65.80240907620711,98.8899331196591,95.17276816059017,17.612546621836113,17.55876608225438,43.90078325477706,42.85413014516772,33.0378643108009,59.34358949812757,32.41027470489395,36.87228028321426,1.2428618898307835,1.2215764255172044
2020-01-04,7931.5,11.7967602639195,104.81669138025683,78.21231556511377,73.71621078369762,105.17654047671381,102.10253984012573,17.089249374722222,17.5739601554874,44.948231086444125,45.09918888074982,37.858013257630624,65.5258406596544,34.76570676430577,38.2723774272431,1.280591177634249,1.2883889643461284
2020-01-05,7955.5,11.7967602639195,90.8515622757101,67.36509510837638,74.01796119507443,89.22368263626619,98.7556749153155,14.921109130422337,16.099470152244145,39.52937560908029,42.60284286916186,39.75249542978252,70.40752660532709,39.19300026021304,44.450182716984784,1.17303403123487,1.2225816549776527
2020-01-06,7979.5,11.7967602639195,73.03314826154404,50.29597009617499,55.52461344147499,70.03175097163462,75.65233048923271,13.949418626713989,14.379906829283046,36.21466569800913,37.288088131492884,41.431331152679675,67.99802151437305,40.21048141452018,45.370897329816906,1.1310174664573935,1.124178377870122
2020-01-07,8003.5,11.7967602639195,66.10794427320523,45.38585023299799,47.19726987195501,65.19199238335682,65.62672616151691,12.580788402864595,13.15033562921515,33.082878496529105,34.406620896783636,41.92917212761687,69.52507619649026,40.9069098728196,46.21160813552278,1.0912084274145935,1.1085882481182283
2020-01-08,8027.5,11.7967602639195,70.2558874384435,48.96420546921973,47.09094033182794,67.37412658597961,65.22668150737945,12.974533954682567,12.741290677059933,32.32726503268439,32.737594466301545,45.933636042076785,75.44494207706751,44.2709618242134,49.291335343187725,1.0343316380726735,1.0706865254081968
2020-01-09,8051.5,11.7967602639195,77.51801955012633,57.25433359696025,50.6421751549551,75.53302213971038,68.563774090179,14.56523791557485,13.947174769935735,34.22938280740138,33.01266537017187,46.04318525199261,77.57930455269222,46.04109972287207,52.26376714270047,1.0418950498455046,1.0337028533236403
2020-01-10,8075.5,11.7967602639195,83.4583431976742,62.05507558224176,59.689795285287666,80.12628663976075,80.0487393988939,14.128566379718231,14.301672633804936,35.733472623389474,35.243800243234,44.32451568151153,72.88844421515653,44.13530696744172,49.29552844431132,1.1139837829243113,1.099770518226924
2020-01-11,8099.5,11.7967602639195,77.7271426083147,58.64106626208796,56.78743057542846,75.05183740873898,74.89741653379383,12.67195863026068,12.906898653371178,33.37961765971807,34.538574426271246,41.606255260142774,71.62793663291443,42.219659884037085,48.32023405595498,1.0561972447486925,1.066773132581318
2020-01-12,8123.5,11.7967602639195,83.44356668551414,60.571147698502436,57.76479018041734,79.63541692544396,75.96661336662461,13.091908384730939,12.93839584181039,34.1361332912497,34.16143319232818,40.758651060655495,73.08086072153716,39.56510272570913,43.925369033086234,1.1065787021142353,1.0816493325926113
2020-01-13,8147.5,11.7967602639195,88.84173538125303,65.26084170408828,61.88325752775886,85.03434270907997,81.52708633843035,13.581259961321104,13.28204712002009,36.46364552788204,34.9887969411281,40.08699895394669,75.45077450289294,39.82669229179006,45.47590360956738,1.1353998986672686,1.1098577226925284
2020-01-14,8171.5,11.7967602639195,97.21244299356962,74.96973164962795,69.64246901397715,92.00939948726509,90.61641917055258,13.783002279215106,13.711170798396596,37.174951360896394,37.62432175764276,40.135141426821484,73.27253382170339,39.27962015702998,44.337546679188335,1.169995480447023,1.1712537047264526
2020-01-15,8195.5,11.7967602639195,89.88101314398513,66.55546314352888,68.53937165954484,86.46576137501195,88.98241161562358,14.218699758626277,14.189782887101739,35.42479960394009,36.128256691057935,41.35952777051825,71.71780107507283,41.34131268989547,47.45080279591522,1.1323436737188954,1.1369749097443784
2020-01-16,8219.5,11.7967602639195,82.91843448795636,62.385634075393,61.469656881156325,78.34727105706658,80.79722257940469,13.634395146615857,13.981898649239586,32.90273361711202,33.94529498412749,41.54265623567202,68.97876749764187,41.57767974449858,46.92219629385515,1.089952462046888,1.1121543010230712
2020-01-17,8243.5,11.7967602639195,86.6149133197134,63.77285666208482,61.14844105772259,80.6179820643104,78.56002646045067,13.566527569938978,13.663426605324073,32.828462439217994,32.43630018910691,41.27964241527347,70.68617747484772,41.290123577583664,46.25376866717188,1.108259807810807,1.0833764241762094
2020-01-18,8267.5,11.7967602639195,91.86131880374815,67.4748877672434,65.23697505162264,87.17796625204969,83.45707901232235,13.19178034501887,13.393952168866583,32.23127715159656,32.89117040071608,44.096902409599544,73.47702192156018,43.96321132214245,48.655778326982436,1.1441939064239517,1.1318913662451726
2020-01-19,8291.5,11.7967602639195,84.73809165678895,60.00636611384732,63.59712812981746,80.81379713409791,83.97830849298398,12.795007931113021,13.057292756563223,30.59714288107779,30.837113039597778,47.67031833913798,77.70479797236578,47.09556190959257,52.839514516805494,1.0537265261984246,1.0922593782915158
