AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,name
52.083333333333336,41.291666666666664,19.875,51.875,25.166666666666668,7.458333333333333,2.0416666666666665,35.5,13.375,48.791666666666664,28.5,36.625,39.416666666666664,0.4720833333333334,0.15,成都
36.291666666666664,30.625,6.333333333333333,49.458333333333336,12.25,11.708333333333334,2.2083333333333335,38.666666666666664,5.916666666666667,63.583333333333336,6.416666666666667,46.125,38.125,0.8316666666666667,0.15250000000000002,昆明
43.125,34.291666666666664,23.5,41.25,26.541666666666668,3.6666666666666665,1.625,28.5,10.125,31.875,13.541666666666666,23.041666666666668,21.333333333333332,0.5208333333333334,0.2191666666666667,武汉
26.833333333333332,21.333333333333332,10.75,32.125,15.75,6.458333333333333,1.4583333333333333,21.75,6.791666666666667,25.708333333333332,18.25,18.458333333333332,20.791666666666668,0.32958333333333334,0.11166666666666668,重庆
58.0,44.958333333333336,24.25,41.166666666666664,20.625,2.5416666666666665,1.0416666666666667,24.625,8.958333333333334,31.5,17.875,23.625,25.291666666666668,0.43583333333333324,0.16750000000000007,长沙
48.583333333333336,38.75,18.416666666666668,53.0,25.208333333333332,7.916666666666667,2.9166666666666665,25.708333333333332,8.291666666666666,41.375,22.083333333333332,30.916666666666668,27.208333333333332,0.4625000000000001,0.16499999999999998,南昌
35.833333333333336,30.208333333333332,12.5,34.458333333333336,12.208333333333334,5.916666666666667,1.7916666666666667,33.333333333333336,11.208333333333334,66.66666666666667,24.375,48.833333333333336,39.666666666666664,0.43,0.15041666666666667,厦门
47.083333333333336,40.541666666666664,20.0,52.916666666666664,26.291666666666668,3.4583333333333335,1.0416666666666667,27.5,8.333333333333334,53.208333333333336,22.041666666666668,36.666666666666664,33.375,0.42750000000000005,0.16124999999999998,台州
44.0,34.958333333333336,14.208333333333334,47.583333333333336,16.041666666666668,3.5833333333333335,0.8333333333333334,24.666666666666668,7.166666666666667,72.79166666666667,27.791666666666668,55.0,50.0,0.4183333333333333,0.12791666666666668,泉州
43.833333333333336,36.166666666666664,18.416666666666668,59.166666666666664,29.708333333333332,2.8333333333333335,1.125,29.375,10.625,50.708333333333336,22.375,39.458333333333336,38.041666666666664,0.35125000000000006,0.13458333333333336,温州
32.375,23.833333333333332,14.791666666666666,37.291666666666664,17.291666666666668,1.8333333333333333,0.5833333333333334,26.916666666666668,8.791666666666666,55.333333333333336,22.875,40.333333333333336,34.708333333333336,0.33666666666666667,0.11875000000000002,福州
37.291666666666664,28.416666666666668,12.25,41.166666666666664,17.833333333333332,14.5,4.375,19.541666666666668,5.125,36.25,18.833333333333332,25.291666666666668,21.791666666666668,0.34833333333333333,0.15625000000000003,贵阳
32.791666666666664,27.666666666666668,9.583333333333334,41.916666666666664,13.541666666666666,17.666666666666668,3.3333333333333335,34.208333333333336,7.833333333333333,62.708333333333336,21.25,46.666666666666664,48.375,1.4000000000000001,0.30750000000000005,三明
34.25,29.791666666666668,13.083333333333334,43.0,20.625,27.708333333333332,7.041666666666667,22.833333333333332,7.333333333333333,42.875,29.875,31.875,35.583333333333336,0.3958333333333334,0.1625,上饶
38.416666666666664,27.958333333333332,15.083333333333334,44.291666666666664,16.875,3.9583333333333335,0.7083333333333334,21.541666666666668,7.958333333333333,51.291666666666664,20.25,36.916666666666664,37.375,0.39625,0.14916666666666673,丽水
63.0,50.208333333333336,22.833333333333332,54.208333333333336,24.916666666666668,4.916666666666667,1.7083333333333333,17.708333333333332,5.791666666666667,38.5,23.041666666666668,31.166666666666668,28.541666666666668,0.44583333333333347,0.17833333333333334,九江
37.0,30.791666666666668,11.041666666666666,34.333333333333336,12.5,7.875,1.9166666666666667,28.875,6.708333333333333,67.41666666666667,24.583333333333332,49.833333333333336,49.75,0.6283333333333333,0.17375,南平
61.166666666666664,47.833333333333336,22.916666666666668,58.875,27.583333333333332,5.25,2.4166666666666665,22.916666666666668,7.5,31.291666666666668,18.375,22.25,24.583333333333332,0.5337500000000001,0.1895833333333333,株洲
47.875,37.583333333333336,21.5,62.333333333333336,33.541666666666664,9.875,2.875,32.875,11.208333333333334,47.333333333333336,22.958333333333332,36.208333333333336,36.5,0.5150000000000001,0.2945833333333333,湖州
62.875,48.916666666666664,24.416666666666668,51.625,26.041666666666668,4.75,2.25,25.083333333333332,9.208333333333334,34.208333333333336,21.541666666666668,24.25,27.208333333333332,0.4808333333333334,0.17208333333333328,湘潭
45.958333333333336,36.25,14.041666666666666,56.541666666666664,18.708333333333332,4.166666666666667,1.25,35.5,7.083333333333333,61.166666666666664,23.75,42.125,46.0,0.5354166666666667,0.11208333333333331,绵阳
46.791666666666664,37.041666666666664,20.833333333333332,50.25,24.125,9.916666666666666,3.3333333333333335,21.0,6.916666666666667,33.875,18.416666666666668,23.0,24.958333333333332,0.435,0.155,衡阳
86.875,69.125,27.583333333333332,75.58333333333333,28.583333333333332,7.041666666666667,2.4583333333333335,28.083333333333332,9.166666666666666,49.541666666666664,24.333333333333332,36.125,33.125,0.6116666666666667,0.24874999999999994,襄阳
30.958333333333332,23.166666666666668,11.25,40.583333333333336,16.041666666666668,11.583333333333334,3.0,28.291666666666668,7.916666666666667,68.04166666666667,35.208333333333336,46.416666666666664,43.458333333333336,0.36749999999999994,0.13416666666666666,赣州
32.375,23.25,8.583333333333334,36.791666666666664,12.916666666666666,20.125,6.916666666666667,19.875,5.375,26.375,17.125,20.0,18.541666666666668,0.4520833333333334,0.16916666666666672,遵义
