AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,name
75.02394747006566,51.95905755117806,52.093050193050196,76.27153341058323,76.3088803088803,6.64156044804944,6.652895752895753,35.74893781382773,35.779536679536676,45.497489378138276,90.58494208494209,43.71351351351351,50.44054054054054,0.7667168791038994,0.767378378378373,成都
51.40599769319493,33.30449826989619,33.24759707804691,48.90926566705114,48.95001922337563,9.271049596309112,9.256439830834294,24.80469050365244,24.81276432141484,69.53863898500576,108.74202229911573,67.0234525182622,73.8158400615148,0.6980622837370235,0.6976470588235295,昆明
61.650903498654365,42.690119184928875,42.70165321030373,57.0476739715494,57.129181084198386,8.04152249134948,8.046136101499423,27.733948481353327,27.853517877739332,56.83775470972703,90.05305651672434,55.473279507881585,61.25067281814687,0.9181199538639013,0.9182006920415264,武汉
62.624375240292196,43.93271818531334,44.06958861976163,63.104190695886196,63.295655517108806,7.73356401384083,7.750096116878124,35.64590542099192,35.69896193771626,33.64552095347943,69.56939638600538,32.42060745866974,37.36255286428297,0.8507266435986164,0.8521683967704786,重庆
65.27199385324626,46.77679600461006,47.0080676142912,46.29427583557434,46.47637341529005,5.749519784863619,5.734152900499423,26.723780253553592,26.817518248175183,48.39147137917787,84.88052247406839,46.85401459854015,52.32885132539378,0.9175758739915473,0.9195966192854421,长沙
56.90965013456363,38.05920799692426,38.059592464436754,58.24298346789696,58.21530180699731,7.8596693579392545,7.854286812764322,30.26797385620915,30.365244136870434,50.891580161476355,89.80853517877739,49.396386005382546,55.36063052672049,0.6863936947327971,0.6846520569011969,南昌
42.529976940814755,24.824365872405842,24.978862413528056,38.84166026133743,38.969638739431204,5.630668716372021,5.621829362029208,21.050345887778633,21.10184473481937,71.98770176787087,108.00076863950807,70.4684857801691,78.11683320522675,0.49411606456571566,0.49493082244426906,厦门
49.1076095311299,30.318846153846152,30.215987701767872,50.798616448885475,50.62644119907763,4.046502690238278,4.0196003074558035,20.27401998462721,20.27555726364335,67.31898539584935,100.14488854727134,65.71060722521138,72.80169100691775,0.5163182167563392,0.5149000768639449,台州
47.75374567806377,30.329235497502882,30.439877064925085,40.889315910837816,40.827890895121016,5.0345754898194395,4.9915482135996925,21.94006915097964,22.01651940069151,68.16557817902421,108.58086822896658,66.37764118325009,73.70610833653477,0.4525124855935435,0.4490741452170531,泉州
46.688316679477325,27.770945426594928,27.795157571099153,49.524596464258266,49.44427363566487,7.224827056110684,7.200614911606457,26.982321291314374,27.001152959262107,59.01921598770177,97.98116833205226,56.78170637970792,63.20407378939277,0.6025557263643386,0.604096848578022,温州
41.73740868896578,25.417916186082277,25.424452133794695,37.16532103037294,36.96462898885044,4.664744329104191,4.632833525567089,22.408688965782392,22.444444444444443,65.38100730488274,100.0,64.02691272587467,71.18262206843522,0.6984967320261424,0.6993233371780049,福州
46.05841660261338,30.317063797079168,30.445810914681015,46.69907763259032,46.88393543428132,12.38086087624904,12.405841660261338,16.277863182167565,16.36933128362798,53.431591083781704,80.97617217524981,52.84934665641814,58.79746348962337,0.6887163720215219,0.6890122982321278,贵阳
37.92579777008843,23.566974595842957,23.439446366782008,34.75269230769231,34.42906574394463,7.804306036139947,7.755478662053057,20.77201076509035,20.666666666666668,39.26797385620915,75.08073817762399,38.532103037293346,43.84467512495194,0.8325720876585939,0.8310803537101146,三明
47.372549019607845,29.747020376778163,29.687427912341406,49.427527873894654,49.280276816608996,11.205305651672434,11.244905805459439,21.02883506343714,21.103421760861206,49.440215301806994,85.3287197231834,47.79277201076509,53.50788158400615,0.7161668589004215,0.7175086505190267,上饶
39.473097617217526,23.40323201231243,23.31129900076864,37.497116493656286,37.40392006149116,4.982314494425221,4.904304381245196,16.976940814757878,17.051883166794774,53.2348193697156,86.75134511913912,51.63220599538816,58.336279784780935,0.6193581860107626,0.6187624903920071,丽水
65.15878508266051,45.231449442522106,44.9677047289504,59.74548250672818,59.536332179930795,10.362168396770473,10.363321799307958,25.452902729719337,25.44405997693195,52.85351787773933,89.02806612841215,51.14263744713572,58.333333333333336,0.6088043060361412,0.5976893502499051,九江
35.11341791618608,22.111923076923077,22.08304498269896,28.795,28.613225682429835,6.157247212610534,6.180699730872742,12.926951172625913,12.947327950788159,52.68769230769231,89.19838523644752,52.043829296424455,58.498654363706265,0.5566628219915397,0.5574163783160393,南平
61.410969486288145,43.27848590189262,43.53436293436293,53.99613750482812,54.14169884169884,7.540363074546157,7.566023166023166,28.532251834685205,28.63011583011583,44.9123213595983,79.84864864864865,43.76486486486486,48.757915057915056,0.7361181923522612,0.7363359073359063,株洲
50.97462514417532,29.431757016532103,29.452518262206844,55.112648981161094,54.9761630142253,5.9388696655132645,5.9434832756632066,31.06651287966167,31.131487889273355,59.19454056132257,97.93886966551327,57.13302575932334,63.72241445597847,0.7328027681660907,0.7295001922337571,湖州
62.843906189926955,44.78854286812764,45.080353710111496,52.40253748558247,52.680123029604,7.09996155324875,7.100730488273741,28.592079969242597,28.696270665128797,42.960399846212994,78.68319876970396,41.583621683967706,46.76239907727797,0.7796924259900044,0.7803306420607468,湘潭
68.22239382239383,46.41312741312741,46.52991123118487,71.0996138996139,71.23851794673871,5.518532818532819,5.537630258587418,30.143629343629343,30.21381705905056,46.810810810810814,96.5600154380548,44.52991123118487,50.634118101119256,0.7389498069498124,0.7360517174836053,绵阳
