AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,period,area
-0.11099348275196387,-0.10767083870772991,-0.12484501015828744,-0.17291901757182843,-0.1921829904272134,-0.14828569278044204,-0.15333369810872655,-0.5091844453086963,-0.5147082617230736,0.5729857316909263,0.3194692916944462,0.57108126857217,0.5040486013604912,-0.21954466287321464,-0.21918530892144764,(level1),CS
-0.09224999481745377,-0.13428098082001655,-0.11988679347321406,-0.07794959920452925,-0.06853872856514823,-0.17502330331724233,-0.16877887808854833,-0.4013967105035747,-0.39975808906413174,0.5322792440742027,0.3130453873426546,0.5167724247416222,0.4362781680233355,-0.24893969118709874,-0.24898723433120074,(level1),MG
-0.2715120286420572,-0.31390035174135933,-0.2939695160136384,-0.2902046227073199,-0.2751386619071741,-0.25748580659530973,-0.2518390753321552,-0.5302837669323122,-0.527837474348221,0.876063095962734,0.44321378101880654,0.8797108287342775,0.7802799034525528,-0.30833695612275325,-0.2973084654244095,(level1),NCP
-0.25435674682644427,-0.2783168581716647,-0.26651422937984076,-0.2659390334518189,-0.2536139967958584,-0.20901212093751673,-0.19871763209401522,-0.46255927672425107,-0.46199510326011267,0.49677326360936064,0.25595697579692545,0.4960034995434817,0.4270580182405648,-0.24525125415133406,-0.2502976907212171,(level1),NEC
-0.04666175659042764,-0.22866371996529675,-0.2263537030798668,0.07634225793120698,0.06624755760830632,0.0010760910685137144,0.008148556238314472,-0.43739247090716993,-0.4360297412068095,0.6783643079625975,0.42186342161223644,0.6644030793986005,0.607214082994449,-0.19357623701752474,-0.19281070564277533,(level1),NW
-0.17282899107291408,-0.13937107593673173,-0.14445011521825088,-0.26161839825475164,-0.2687164047580285,-0.20012998294049045,-0.20561056483770174,-0.46226547221429465,-0.4704534775445538,0.14852650814995447,-0.02817529418710099,0.15441276670035156,0.11225316509708182,-0.18533082868749692,-0.18761157490054992,(level1),SC
-0.08230283692212527,-0.17522189914605524,-0.17313811789752392,-0.07935845216074995,-0.07717514905239868,-0.07974332548261864,-0.07433087561131707,-0.3824165135726303,-0.38380234880103825,0.12825120636359788,0.04169380925043595,0.12597385314013163,0.10959718869894783,-0.11283459738480806,-0.11672790138805772,(level1),TP
-0.29473232133551813,-0.32847734692009156,-0.3225202921706422,-0.30454286756294524,-0.3011042980865795,-0.0667981969635912,-0.06899687452933309,-0.5255540436434063,-0.526977517564155,0.7812151989918298,0.48407712897200256,0.774547443303239,0.6566471180836883,-0.20495811401571415,-0.20170240559861013,(level1),YR
-0.11663441429435599,-0.16124459756697412,-0.16982179058710556,-0.06479283079138806,-0.07826058392634495,0.05662262438092694,0.04961873732010812,-0.18056734564208535,-0.19036709783122358,0.7175611590489018,0.5515872848358678,0.7125191096636273,0.6738578750171192,-0.24371447594504217,-0.24425570460413976,(level2),CS
-0.24984803775953973,-0.42520824955877196,-0.4119421448357335,-0.21171201231104328,-0.19916353676827395,-0.34742422630442144,-0.34436649960661425,-0.4427027187823107,-0.441887936581898,0.7058443530968388,0.39531391590471776,0.6781153531259525,0.5835816106611669,-0.4520207368824317,-0.4532208087594735,(level2),MG
-0.41637386867766096,-0.5548450253783197,-0.5448060221184965,-0.3306033277439363,-0.32015566419895647,-0.34053230618829,-0.3393354033678008,-0.37518709589653015,-0.37784112991624225,0.9553086377401828,0.5970262681904264,0.940101188419649,0.867537983920595,-0.4970473662264869,-0.4911022581529603,(level2),NCP
