day,area,period,PM2.5,PM10,SO2,CO,NO2,O3
2020-01-01,CS,pre,54.48542260208927,65.88317445914478,12.951929256267155,0.8128145188567568,44.8030119423955,38.83053815582354
2020-01-02,CS,pre,55.80663726599799,73.34172406952088,6.764550403933965,0.8750957212920685,47.82232987290065,37.70863790995069
2020-01-03,CS,pre,63.91019982047379,77.66323013828722,10.938604151218307,0.9306622403049345,53.119378585645705,42.40791134917847
2020-01-04,CS,pre,79.74046901221558,99.91150675174647,6.950769165723504,0.9889109963054026,48.62637409098596,28.537188593581288
2020-01-05,CS,pre,69.51878032757028,78.45420114090206,8.615582029166504,0.9965748952763792,46.97148346537616,27.897324181399526
2020-01-06,CS,pre,48.51007151777699,58.63872383535626,10.712809780275533,0.9844783072499967,41.25651595571687,41.72200236766447
2020-01-07,CS,pre,35.4634538955886,48.285101113582854,7.029265048328975,1.1789381106167633,54.326197003993805,70.00483517412742
2020-01-08,CS,pre,42.973282467574705,67.59284887275754,8.0147473298729,1.2453797369550796,54.69211824662738,60.50369280854441
2020-01-09,CS,pre,44.11868015715048,56.332759955248534,5.623340033043229,0.9194940889695455,43.07712374299132,40.53377824610701
2020-01-10,CS,pre,28.042905462540165,35.409320077014144,6.399332142996526,0.9026543079785088,35.88286207704016,27.93989693504534
2020-01-11,CS,pre,42.31122168884726,60.45807770362565,8.956654665730008,1.019202869492253,59.26318411843526,55.28771253691345
2020-01-12,CS,pre,50.07334377317254,73.86124982112426,8.179370747635588,1.1060591151829737,60.859950370110184,62.7760257711171
2020-01-13,CS,pre,49.84923050904786,62.88750227660044,16.5339119150763,1.0733947852840549,51.29270934967282,46.387839863924334
2020-01-14,CS,pre,64.91955762400968,76.55278086744983,6.728725494022298,0.9429813725298886,43.87979175610454,47.52564248916989
2020-01-15,CS,pre,68.82519237273804,73.96904587675135,6.626576871040342,0.8523716550234811,36.458724745996435,34.65284932807763
2020-01-16,CS,pre,48.989417710650585,50.76560934837191,6.129539053454579,0.9381211314053779,33.69470950578257,45.08129187318685
2020-01-17,CS,pre,43.73747056680846,54.32854450428651,6.197585014765379,0.8230676995928138,45.12803129349933,42.64276512638385
2020-01-18,CS,pre,50.249509880445956,54.87012287137858,7.414840995719991,0.8311333144700723,42.502388153872175,44.244185399836084
2020-01-19,CS,pre,69.45693111007037,75.4097010823609,6.733787840351768,0.9691744363787742,62.572860646034165,83.9931724752501
2020-01-20,CS,pre,66.81477432384968,80.10135571556805,9.300629154795821,1.0528336488051098,60.293691052309775,71.58080777036257
2020-01-21,CS,pre,58.53819940418114,66.26352544588846,6.6441919044088,0.8623137448126033,42.690308349269536,62.79125639074269
2020-01-22,CS,pre,55.13016089060609,60.58174914464868,6.181388953934616,0.8307835001756233,34.11129811757666,53.29581869804473
2020-01-23,CS,pre,61.64121329794846,65.15666068245977,8.567804479048771,0.8278966211997033,31.175239530890217,42.775660864587806
2020-01-24,CS,pre,46.79451485644408,52.139420962936946,3.393221584774096,0.6631267464777739,18.499664526662244,22.522455573768354
2020-01-01,MG,pre,90.85714285714285,138.0612244897959,44.87755102040817,2.332857142857143,63.326530612244895,45.30612244897959
2020-01-02,MG,pre,89.18367346938776,134.06122448979593,46.08163265306123,2.3840816326530616,60.73469387755102,43.55102040816326
2020-01-03,MG,pre,90.57142857142857,117.59183673469387,41.69387755102041,2.3479591836734697,62.02040816326531,50.183673469387756
2020-01-04,MG,pre,88.61224489795919,115.9795918367347,32.57142857142858,2.023265306122449,70.51020408163266,51.285714285714285
2020-01-05,MG,pre,75.63265306122449,103.44897959183673,43.59183673469388,1.9728571428571429,62.42857142857142,36.51020408163265
2020-01-06,MG,pre,71.79591836734694,80.6530612244898,29.408163265306122,1.4426530612244899,48.408163265306115,67.0408163265306
2020-01-07,MG,pre,58.632653061224495,66.53061224489795,50.755102040816325,1.273265306122449,42.6530612244898,63.71428571428572
2020-01-08,MG,pre,81.02040816326529,92.63265306122449,32.04081632653061,1.8271428571428572,62.46938775510204,60.183673469387756
2020-01-09,MG,pre,107.44897959183673,118.83673469387755,39.04081632653061,1.8316326530612246,66.38775510204083,47.08163265306121
2020-01-10,MG,pre,94.48979591836735,116.6938775510204,40.18367346938776,1.669591836734694,57.04081632653061,54.469387755102034
2020-01-11,MG,pre,89.12244897959184,105.6938775510204,29.79591836734694,1.6628571428571428,59.61224489795918,50.63265306122449
2020-01-12,MG,pre,92.0204081632653,114.12244897959184,27.326530612244895,1.8475510204081633,53.04081632653061,62.795918367346935
2020-01-13,MG,pre,71.3061224489796,83.48979591836735,25.591836734693874,1.5891836734693876,60.61224489795919,64.22448979591836
2020-01-14,MG,pre,90.24489795918367,115.04081632653062,28.18367346938776,1.9110204081632653,67.12244897959184,52.877551020408156
2020-01-15,MG,pre,95.79591836734694,126.51020408163266,39.10204081632653,1.9312244897959185,66.26530612244898,50.10204081632653
2020-01-16,MG,pre,108.87755102040816,137.3061224489796,38.63265306122449,2.126734693877551,73.81632653061226,48.0
2020-01-17,MG,pre,132.57142857142856,158.0408163265306,31.142857142857146,1.9893877551020411,63.81632653061225,66.71428571428571
2020-01-18,MG,pre,121.73469387755101,145.42857142857144,33.102040816326536,1.906530612244898,55.34693877551021,61.448979591836725
2020-01-19,MG,pre,60.938775510204074,99.14285714285714,24.122448979591837,1.32,40.77551020408164,67.6938775510204
2020-01-20,MG,pre,45.99999999999999,65.42857142857143,29.387755102040817,1.2304081632653063,36.83673469387755,66.61224489795919
