kind,area,period,hour,value
CO,NEC,l3,10,0.602723782
CO,NEC,l3,11,0.528960499
CO,NEC,l3,12,0.471021064
CO,NEC,l3,13,0.424411135
CO,NEC,l3,14,0.400032293
CO,NEC,l3,15,0.394717771
CO,NEC,l3,16,0.39949751
CO,NEC,l3,17,0.405344014
CO,NEC,l3,18,0.426446136
CO,NEC,l3,19,0.471583721
CO,NEC,l3,20,0.526245083
CO,NEC,l3,21,0.572686523
CO,NEC,l3,22,0.59546928
CO,NEC,l3,23,0.626337933
CO,NEC,pre,0,1.048925539
CO,NEC,pre,1,1.078111548
CO,NEC,pre,2,1.05210666
CO,NEC,pre,3,1.05796261
CO,NEC,pre,4,1.063880154
CO,NEC,pre,5,1.048918654
CO,NEC,pre,6,1.055884664
CO,NEC,pre,7,1.09009007
CO,NEC,pre,8,1.170692624
CO,NEC,pre,9,1.226637182
CO,NEC,pre,10,1.193967551
CO,NEC,pre,11,1.09106744
CO,NEC,pre,12,0.97147768
CO,NEC,pre,13,0.841965581
CO,NEC,pre,14,0.75924167
CO,NEC,pre,15,0.702526533
CO,NEC,pre,16,0.70211533
CO,NEC,pre,17,0.759650635
CO,NEC,pre,18,0.847753462
CO,NEC,pre,19,0.913404546
CO,NEC,pre,20,0.976102922
CO,NEC,pre,21,1.005936166
CO,NEC,pre,22,1.024488971
CO,NEC,pre,23,1.034708147
CO,NW,l1,0,1.097258663
CO,NW,l1,1,1.092373724
CO,NW,l1,2,1.093020619
CO,NW,l1,3,1.072361254
CO,NW,l1,4,1.068751289
CO,NW,l1,5,1.058723368
CO,NW,l1,6,1.064082474
CO,NW,l1,7,1.087443729
CO,NW,l1,8,1.12925
CO,NW,l1,9,1.174947483
CO,NW,l1,10,1.250093316
CO,NW,l1,11,1.301292996
CO,NW,l1,12,1.229967784
CO,NW,l1,13,1.124591924
CO,NW,l1,14,1.005561828
CO,NW,l1,15,0.930525538
CO,NW,l1,16,0.862870968
CO,NW,l1,17,0.844333333
CO,NW,l1,18,0.85347491
CO,NW,l1,19,0.90203945
CO,NW,l1,20,0.960623656
CO,NW,l1,21,1.016141323
CO,NW,l1,22,1.045453993
CO,NW,l1,23,1.078892612
CO,NW,l2,0,0.714115451
CO,NW,l2,1,0.718532509
CO,NW,l2,2,0.724802536
CO,NW,l2,3,0.722153533
CO,NW,l2,4,0.718184925
CO,NW,l2,5,0.717260768
CO,NW,l2,6,0.735021307
CO,NW,l2,7,0.774430077
CO,NW,l2,8,0.827707386
CO,NW,l2,9,0.894627367
CO,NW,l2,10,0.926351254
CO,NW,l2,11,0.882653674
CO,NW,l2,12,0.776631206
CO,NW,l2,13,0.705028704
CO,NW,l2,14,0.642026515
CO,NW,l2,15,0.591035714
CO,NW,l2,16,0.556573822
CO,NW,l2,17,0.542075092
CO,NW,l2,18,0.550641284
CO,NW,l2,19,0.581284564
CO,NW,l2,20,0.646181345
CO,NW,l2,21,0.65035328
CO,NW,l2,22,0.674289931
CO,NW,l2,23,0.697857895
CO,NW,l3,0,0.569006289
CO,NW,l3,1,0.570547386
CO,NW,l3,2,0.571638333
CO,NW,l3,3,0.563458333
CO,NW,l3,4,0.573438333
CO,NW,l3,5,0.582558824
CO,NW,l3,6,0.595185458
CO,NW,l3,7,0.634473856
CO,NW,l3,8,0.69854085
CO,NW,l3,9,0.78999183
CO,NW,l3,10,0.80828268
CO,NW,l3,11,0.7195
CO,NW,l3,12,0.627238562
CO,NW,l3,13,0.553488333
CO,NW,l3,14,0.49014966
CO,NW,l3,15,0.464565217
CO,NW,l3,16,0.447885
CO,NW,l3,17,0.441462418
CO,NW,l3,18,0.444588435
CO,NW,l3,19,0.454893229
CO,NW,l3,20,0.489722826
CO,NW,l3,21,0.518394965
CO,NW,l3,22,0.554260638
CO,NW,l3,23,0.571449167
CO,NW,pre,0,1.466703846
CO,NW,pre,1,1.456919922
CO,NW,pre,2,1.443971561
CO,NW,pre,3,1.436226478
CO,NW,pre,4,1.399450941
CO,NW,pre,5,1.385019571
CO,NW,pre,6,1.407028205
CO,NW,pre,7,1.455729167
CO,NW,pre,8,1.495318182
CO,NW,pre,9,1.576149359
CO,NW,pre,10,1.620936237
CO,NW,pre,11,1.653463308
CO,NW,pre,12,1.639274621
CO,NW,pre,13,1.538195076
CO,NW,pre,14,1.403283582
CO,NW,pre,15,1.331607323
CO,NW,pre,16,1.307380859
CO,NW,pre,17,1.291974359
CO,NW,pre,18,1.350818182
CO,NW,pre,19,1.404084577
CO,NW,pre,20,1.458231343
CO,NW,pre,21,1.489485075
CO,NW,pre,22,1.483654851
CO,NW,pre,23,1.488059975
CO,PR,l1,0,0.444679351
CO,PR,l1,1,0.4368231
CO,PR,l1,2,0.427562667
CO,PR,l1,3,0.422647096
CO,PR,l1,4,0.417335924
CO,PR,l1,5,0.417048839
CO,PR,l1,6,0.417355166
CO,PR,l1,7,0.418578625
CO,PR,l1,8,0.426679414
CO,PR,l1,9,0.437889846
CO,PR,l1,10,0.440667538
CO,PR,l1,11,0.43709595
CO,PR,l1,12,0.426178685
CO,PR,l1,13,0.418338388
CO,PR,l1,14,0.407259683
CO,PR,l1,15,0.405458743
CO,PR,l1,16,0.405528183
CO,PR,l1,17,0.408000502
CO,PR,l1,18,0.420660048
CO,PR,l1,19,0.441750578
CO,PR,l1,20,0.453271668
CO,PR,l1,21,0.458790759
CO,PR,l1,22,0.459293484
CO,PR,l1,23,0.453509997
CO,PR,l2,0,0.454352884
CO,PR,l2,1,0.444769222
CO,PR,l2,2,0.439149046
CO,PR,l2,3,0.434942912
CO,PR,l2,4,0.431184044
CO,PR,l2,5,0.427696419
CO,PR,l2,6,0.429527304
CO,PR,l2,7,0.438040116
CO,PR,l2,8,0.458079176
CO,PR,l2,9,0.475990848
CO,PR,l2,10,0.469599095
CO,PR,l2,11,0.458464579
CO,PR,l2,12,0.443790098
CO,PR,l2,13,0.429698925
CO,PR,l2,14,0.419679244
CO,PR,l2,15,0.417156175
CO,PR,l2,16,0.415941656
CO,PR,l2,17,0.420599174
CO,PR,l2,18,0.43218467
CO,PR,l2,19,0.456314655
CO,PR,l2,20,0.458322817
CO,PR,l2,21,0.459801285
CO,PR,l2,22,0.460816655
CO,PR,l2,23,0.458898455
CO,PR,l3,0,0.481240253
CO,PR,l3,1,0.476844021
CO,PR,l3,2,0.467615836
CO,PR,l3,3,0.462177223
CO,PR,l3,4,0.455678189
CO,PR,l3,5,0.452800954
CO,PR,l3,6,0.454472544
CO,PR,l3,7,0.469234309
CO,PR,l3,8,0.495203181
CO,PR,l3,9,0.507204934
CO,PR,l3,10,0.490775382
CO,PR,l3,11,0.471033965
CO,PR,l3,12,0.459213011
CO,PR,l3,13,0.452941007
CO,PR,l3,14,0.450446295
CO,PR,l3,15,0.443459156
CO,PR,l3,16,0.443994196
CO,PR,l3,17,0.449285861
CO,PR,l3,18,0.469331293
CO,PR,l3,19,0.490458826
CO,PR,l3,20,0.497170513
CO,PR,l3,21,0.503540632
CO,PR,l3,22,0.490114063
CO,PR,l3,23,0.487807515
CO,PR,pre,0,0.591011309
CO,PR,pre,1,0.584967239
CO,PR,pre,2,0.5729506
CO,PR,pre,3,0.566461519
CO,PR,pre,4,0.560657732
CO,PR,pre,5,0.555925921
CO,PR,pre,6,0.557768338
CO,PR,pre,7,0.562211476
CO,PR,pre,8,0.58906995
CO,PR,pre,9,0.612952428
CO,PR,pre,10,0.603298399
CO,PR,pre,11,0.584864591
CO,PR,pre,12,0.565391359
CO,PR,pre,13,0.544210372
CO,PR,pre,14,0.518171151
CO,PR,pre,15,0.508128362
CO,PR,pre,16,0.502712453
CO,PR,pre,17,0.514965127
CO,PR,pre,18,0.539761693
CO,PR,pre,19,0.583328885
CO,PR,pre,20,0.601205121
CO,PR,pre,21,0.611151912
CO,PR,pre,22,0.608635491
CO,PR,pre,23,0.612466971
CO,SC,l1,0,0.443392179
CO,SC,l1,1,0.435798071
CO,SC,l1,2,0.433325065
CO,SC,l1,3,0.430286832
CO,SC,l1,4,0.427362002
CO,SC,l1,5,0.426069549
CO,SC,l1,6,0.425338707
CO,SC,l1,7,0.428119058
CO,SC,l1,8,0.438688974
CO,SC,l1,9,0.456346435
CO,SC,l1,10,0.461681805
CO,SC,l1,11,0.455760564
CO,SC,l1,12,0.439545454
CO,SC,l1,13,0.427988208
CO,SC,l1,14,0.411328097
CO,SC,l1,15,0.401816109
CO,SC,l1,16,0.393100079
CO,SC,l1,17,0.396430033
CO,SC,l1,18,0.403518488
CO,SC,l1,19,0.422640976
CO,SC,l1,20,0.435285009
CO,SC,l1,21,0.43940328
CO,SC,l1,22,0.43971613
CO,SC,l1,23,0.440021566
CO,SC,l2,0,0.451346695
CO,SC,l2,1,0.4498844
CO,SC,l2,2,0.452929509
CO,SC,l2,3,0.435865884
CO,SC,l2,4,0.446645077
CO,SC,l2,5,0.431283023
CO,SC,l2,6,0.433531111
CO,SC,l2,7,0.445443295
CO,SC,l2,8,0.471741393
CO,SC,l2,9,0.490291532
CO,SC,l2,10,0.474759049
CO,SC,l2,11,0.460147835
CO,SC,l2,12,0.448311259
CO,SC,l2,13,0.43867936
CO,SC,l2,14,0.416965226
CO,SC,l2,15,0.408868817
CO,SC,l2,16,0.404612093
CO,SC,l2,17,0.401246265
CO,SC,l2,18,0.416524578
CO,SC,l2,19,0.427869667
CO,SC,l2,20,0.442359937
CO,SC,l2,21,0.444685488
CO,SC,l2,22,0.449416538
CO,SC,l2,23,0.446485467
CO,SC,l3,0,0.463736444
CO,SC,l3,1,0.446879084
CO,SC,l3,2,0.449687907
CO,SC,l3,3,0.432720748
CO,SC,l3,4,0.432677725
CO,SC,l3,5,0.436198761
CO,SC,l3,6,0.441168212
CO,SC,l3,7,0.450660955
CO,SC,l3,8,0.474871359
CO,SC,l3,9,0.49683033
CO,SC,l3,10,0.48607029
CO,SC,l3,11,0.456975306
CO,SC,l3,12,0.433125215
CO,SC,l3,13,0.397012204
CO,SC,l3,14,0.379906616
CO,SC,l3,15,0.36736889
CO,SC,l3,16,0.36170083
CO,SC,l3,17,0.371230217
CO,SC,l3,18,0.382374948
CO,SC,l3,19,0.413381544
CO,SC,l3,20,0.430549001
CO,SC,l3,21,0.45496682
CO,SC,l3,22,0.475388685
CO,SC,l3,23,0.466462285
CO,SC,pre,0,0.570246389
CO,SC,pre,1,0.562267198
CO,SC,pre,2,0.556800367
CO,SC,pre,3,0.549985825
CO,SC,pre,4,0.543189436
CO,SC,pre,5,0.538249313
CO,SC,pre,6,0.542923175
CO,SC,pre,7,0.555871089
CO,SC,pre,8,0.591061587
CO,SC,pre,9,0.629749306
CO,SC,pre,10,0.631859797
CO,SC,pre,11,0.616754939
CO,SC,pre,12,0.591168555
CO,SC,pre,13,0.569344246
CO,SC,pre,14,0.543946821
CO,SC,pre,15,0.532076631
CO,SC,pre,16,0.527750378
CO,SC,pre,17,0.527340473
CO,SC,pre,18,0.545333994
CO,SC,pre,19,0.566420475
CO,SC,pre,20,0.578150696
CO,SC,pre,21,0.581525097
CO,SC,pre,22,0.582279018
CO,SC,pre,23,0.580966468
CO,TP,l1,0,0.771100478
CO,TP,l1,1,0.7846533
CO,TP,l1,2,0.764670008
CO,TP,l1,3,0.756875
CO,TP,l1,4,0.755916808
CO,TP,l1,5,0.77713073
CO,TP,l1,6,0.79049236
CO,TP,l1,7,0.854473684
CO,TP,l1,8,1.050764411
CO,TP,l1,9,1.242923977
CO,TP,l1,10,1.260457291
CO,TP,l1,11,1.240988964
CO,TP,l1,12,1.106332498
CO,TP,l1,13,0.927489215
CO,TP,l1,14,0.813284936
CO,TP,l1,15,0.693306452
CO,TP,l1,16,0.637387218
CO,TP,l1,17,0.61981203
CO,TP,l1,18,0.599959857
CO,TP,l1,19,0.672699637
CO,TP,l1,20,0.717838057
CO,TP,l1,21,0.781591093
CO,TP,l1,22,0.819036437
CO,TP,l1,23,0.810615385
CO,TP,l2,0,0.570155306
CO,TP,l2,1,0.569421915
CO,TP,l2,2,0.560178268
CO,TP,l2,3,0.566574561
CO,TP,l2,4,0.565040835
CO,TP,l2,5,0.593803828
CO,TP,l2,6,0.615194932
CO,TP,l2,7,0.685933014
CO,TP,l2,8,0.931654135
CO,TP,l2,9,1.004023923
CO,TP,l2,10,1.05212406
CO,TP,l2,11,0.991658835
CO,TP,l2,12,0.774868421
CO,TP,l2,13,0.630512935
CO,TP,l2,14,0.561005639
CO,TP,l2,15,0.542821637
CO,TP,l2,16,0.53122291
CO,TP,l2,17,0.487680312
CO,TP,l2,18,0.498615789
CO,TP,l2,19,0.529152047
CO,TP,l2,20,0.569154135
CO,TP,l2,21,0.600789474
CO,TP,l2,22,0.607825485
CO,TP,l2,23,0.584099019
CO,TP,l3,0,0.563175439
CO,TP,l3,1,0.546131579
CO,TP,l3,2,0.546635338
CO,TP,l3,3,0.575070175
CO,TP,l3,4,0.55331216
CO,TP,l3,5,0.553270677
CO,TP,l3,6,0.565716878
CO,TP,l3,7,0.615947368
