kind,area,Time.1,value
NO2,SC,12,13.568570220139854
NO2,SC,13,12.231006648309762
NO2,SC,14,11.31315521723393
NO2,SC,15,11.170160854742685
NO2,SC,16,11.363578255043947
NO2,SC,17,12.053624727558473
NO2,SC,18,13.506674466321357
NO2,SC,19,15.455845919618628
NO2,SC,20,17.1485756751101
NO2,SC,21,18.179218152357258
NO2,SC,22,18.71660917008118
NO2,SC,23,18.774661162519806
NO2,TP,0,20.795149638802894
NO2,TP,1,19.526051309177454
NO2,TP,2,18.10446971700608
NO2,TP,3,17.186590848981755
NO2,TP,4,16.70690118152524
NO2,TP,5,16.469275981832755
NO2,TP,6,16.71610845295056
NO2,TP,7,19.14625760380852
NO2,TP,8,24.01475279106858
NO2,TP,9,27.651551956815116
NO2,TP,10,27.42469635627528
NO2,TP,11,24.475513650436238
NO2,TP,12,19.920360110803323
NO2,TP,13,16.50287828947368
NO2,TP,14,14.934284034107616
NO2,TP,15,14.339473684210532
NO2,TP,16,13.767594859241123
NO2,TP,17,13.803209947946788
NO2,TP,18,15.241274238227147
NO2,TP,19,19.13943235050978
NO2,TP,20,23.156371191135733
NO2,TP,21,25.366016564253275
NO2,TP,22,24.612007405448296
NO2,TP,23,22.777184076943634
NO2,YR,0,19.26123076531207
NO2,YR,1,18.013516123819006
NO2,YR,2,17.04384395701596
NO2,YR,3,16.459514906667007
NO2,YR,4,16.38523380680497
NO2,YR,5,16.22412721202481
NO2,YR,6,16.50436201170562
NO2,YR,7,17.791697239247068
NO2,YR,8,19.406267371159682
NO2,YR,9,18.26786147215927
NO2,YR,10,16.910498136179825
NO2,YR,11,15.40876336248436
NO2,YR,12,14.008473167705102
NO2,YR,13,13.369387258259767
NO2,YR,14,12.847828083785815
NO2,YR,15,13.152708898684516
NO2,YR,16,13.54621446760262
NO2,YR,17,14.728327004468031
NO2,YR,18,16.749992317550948
NO2,YR,19,18.560478471193704
NO2,YR,20,19.86666677004484
NO2,YR,21,20.72643459113283
NO2,YR,22,20.54833328381454
NO2,YR,23,19.833991225109852
O3,NCP,0,26.100928499471934
O3,NCP,1,24.997298567463186
O3,NCP,2,24.109452929628468
O3,NCP,3,23.26819576305405
O3,NCP,4,22.573734802732357
