area,period,hour,value
NEC,pre,18,38.09947661
NEC,pre,19,40.28503353
NEC,pre,20,42.27213419
NEC,pre,21,42.8514758
NEC,pre,22,42.60479993
NEC,pre,23,42.29815244
NW,l1,0,40.94276955
NW,l1,1,41.37664993
NW,l1,2,40.97939909
NW,l1,3,39.63188409
NW,l1,4,38.95737393
NW,l1,5,37.82398396
NW,l1,6,36.90412241
NW,l1,7,36.74873559
NW,l1,8,36.7403875
NW,l1,9,37.4798945
NW,l1,10,39.26914171
NW,l1,11,41.88888031
NW,l1,12,43.85507276
NW,l1,13,44.91699927
NW,l1,14,44.48076358
NW,l1,15,44.27932043
NW,l1,16,43.69104334
NW,l1,17,44.28817572
NW,l1,18,42.90689712
NW,l1,19,43.12087021
NW,l1,20,42.52108995
NW,l1,21,42.45156807
NW,l1,22,42.73228813
NW,l1,23,41.55709069
NW,l2,0,39.65648465
NW,l2,1,37.96459659
NW,l2,2,38.24229643
NW,l2,3,37.51853762
NW,l2,4,36.86141598
NW,l2,5,35.67814748
NW,l2,6,35.75567843
NW,l2,7,35.40651607
NW,l2,8,35.68173634
NW,l2,9,37.2686157
NW,l2,10,38.75766696
NW,l2,11,41.11470334
NW,l2,12,41.22163854
NW,l2,13,41.52722491
NW,l2,14,41.26235222
NW,l2,15,39.89209241
NW,l2,16,39.10840166
NW,l2,17,39.31828309
NW,l2,18,39.40586862
NW,l2,19,39.00017637
NW,l2,20,39.75899961
NW,l2,21,39.88910178
NW,l2,22,39.16103578
NW,l2,23,39.41123433
NW,l3,0,44.39236455
NW,l3,1,44.10745139
NW,l3,2,43.68168134
NW,l3,3,42.56103814
NW,l3,4,43.08561605
NW,l3,5,41.22365952
NW,l3,6,40.47361664
NW,l3,7,40.18346985
NW,l3,8,41.0459449
NW,l3,9,42.97585946
NW,l3,10,44.91736406
NW,l3,11,46.42136369
NW,l3,12,46.38296016
NW,l3,13,42.8350462
NW,l3,14,42.94700394
NW,l3,15,42.87722611
NW,l3,16,42.22793994
NW,l3,17,43.35492614
NW,l3,18,43.42988039
NW,l3,19,43.9185127
NW,l3,20,43.98868592
NW,l3,21,44.35217575
NW,l3,22,44.15445689
NW,l3,23,43.09836767
NW,pre,0,49.88148758
NW,pre,1,48.89606616
NW,pre,2,48.11353729
NW,pre,3,46.91133827
NW,pre,4,46.06830094
NW,pre,5,44.75640323
NW,pre,6,44.41411421
NW,pre,7,44.5960201
NW,pre,8,44.52298354
NW,pre,9,45.55295243
NW,pre,10,46.89656096
NW,pre,11,48.47963335
NW,pre,12,50.78277057
NW,pre,13,52.08158071
NW,pre,14,51.82570286
NW,pre,15,52.26353813
NW,pre,16,52.45521227
NW,pre,17,52.48728958
NW,pre,18,53.71662416
NW,pre,19,53.81285438
NW,pre,20,53.5633475
NW,pre,21,53.26956306
NW,pre,22,52.75266553
NW,pre,23,51.73929931
PR,l1,0,14.85116641
PR,l1,1,14.51909398
PR,l1,2,14.16465402
PR,l1,3,13.81404762
PR,l1,4,13.6267741
PR,l1,5,13.4885356
PR,l1,6,13.32946929
PR,l1,7,13.25969691
PR,l1,8,13.25336143
PR,l1,9,13.58921251
PR,l1,10,14.28095313
PR,l1,11,15.05464605
PR,l1,12,15.73905599
PR,l1,13,16.33192381
PR,l1,14,16.61272806
PR,l1,15,16.73185411
PR,l1,16,16.89765624
PR,l1,17,17.07673525
PR,l1,18,17.0573269
PR,l1,19,17.08950836
PR,l1,20,16.69790141
PR,l1,21,16.31457643
PR,l1,22,15.88980721
PR,l1,23,15.31895852
PR,l2,0,16.23072144
PR,l2,1,16.15800953
PR,l2,2,15.94322784
PR,l2,3,15.62010469
PR,l2,4,15.23900642
PR,l2,5,15.05418018
PR,l2,6,14.94226941
PR,l2,7,14.89614342
PR,l2,8,15.01762312
PR,l2,9,15.49869493
PR,l2,10,16.20670602
PR,l2,11,16.72245888
PR,l2,12,17.28844846
PR,l2,13,17.84835717
PR,l2,14,18.19752272
PR,l2,15,18.44339416
PR,l2,16,18.43598409
PR,l2,17,18.4712737
PR,l2,18,18.32424747
PR,l2,19,18.32497215
PR,l2,20,17.59743645
PR,l2,21,17.12721199
PR,l2,22,16.8397127
PR,l2,23,16.49601392
PR,l3,0,17.96807113
PR,l3,1,17.47439753
PR,l3,2,17.1100723
PR,l3,3,16.8737201
PR,l3,4,16.59355687
PR,l3,5,16.48078107
PR,l3,6,16.29330677
PR,l3,7,16.34200273
PR,l3,8,16.96719026
PR,l3,9,18.36918934
PR,l3,10,19.5645562
PR,l3,11,19.75855231
PR,l3,12,21.47703815
PR,l3,13,22.11631015
PR,l3,14,22.83278386
PR,l3,15,22.86136795
PR,l3,16,23.12599988
PR,l3,17,23.15416621
PR,l3,18,23.53725184
PR,l3,19,22.81177697
PR,l3,20,21.7380367
PR,l3,21,20.86456736
PR,l3,22,19.75305589
PR,l3,23,19.08011217
PR,pre,0,20.35595163
PR,pre,1,20.01067076
PR,pre,2,19.55059668
PR,pre,3,19.0455472
PR,pre,4,18.62085971
PR,pre,5,18.40822746
PR,pre,6,18.2334043
PR,pre,7,18.07007115
PR,pre,8,18.20739394
PR,pre,9,18.91631441
PR,pre,10,20.11974106
PR,pre,11,20.88325373
PR,pre,12,21.81021791
PR,pre,13,22.51859451
PR,pre,14,22.66104772
PR,pre,15,23.02050788
PR,pre,16,23.07154393
PR,pre,17,23.04981808
PR,pre,18,22.79771554
PR,pre,19,22.56570427
PR,pre,20,22.0809802
PR,pre,21,21.7108219
PR,pre,22,21.35303845
PR,pre,23,21.08080113
SC,l1,0,16.214043
SC,l1,1,15.81847985
SC,l1,2,15.48379648
SC,l1,3,15.12605177
SC,l1,4,14.75976242
SC,l1,5,14.48672402
SC,l1,6,14.29205984
SC,l1,7,14.17512886
SC,l1,8,14.19270095
SC,l1,9,14.49872966
SC,l1,10,15.18955976
SC,l1,11,15.89369718
SC,l1,12,16.39227801
SC,l1,13,16.6711925
SC,l1,14,16.65789268
SC,l1,15,16.74405523
SC,l1,16,16.76510915
SC,l1,17,16.74990664
SC,l1,18,16.8401103
SC,l1,19,17.04016846
SC,l1,20,17.14326372
SC,l1,21,17.10346243
SC,l1,22,16.93075118
SC,l1,23,16.54954834
SC,l2,0,18.13252166
SC,l2,1,18.03257583
SC,l2,2,17.99969912
SC,l2,3,17.06178803
SC,l2,4,17.3085477
SC,l2,5,16.59098846
SC,l2,6,16.38269043
SC,l2,7,16.42563784
SC,l2,8,16.76494968
SC,l2,9,17.20166029
SC,l2,10,17.52461587
