,name,area,Unnamed: 0_x,GDP,Unnamed: 0_y,car,B,G,Z,D
70,达州,CS,241.0,（GDP）再上一个新台阶，达到2041.5,,,（GDP）再上一个新台阶，达到2041.5,2041.5,,
71,遂宁,CS,234.0,(GDP)1345.73,99.0,24.42,(GDP)1345.73,1345.73,,
72,雅安,CS,242.0,(GDP)723.79,,,(GDP)723.79,723.79,,
73,内蒙等级.txt,MG,,,,,,,,
74,乌兰察布,MG,36.0,完成808.4,,,完成808.4,808.4,,
75,兴安盟,MG,37.0,520.06,,,520.06,520.06,,
76,包头,MG,29.0,2714.5,,,2714.5,2714.5,,
77,呼和浩特,MG,28.0,2791.5,,,2791.5,2791.5,,
78,赤峰,MG,31.0,[2]1708.4,,,1708.4,1708.4,,
79,赤峰,NCP,31.0,[2]1708.4,,,1708.4,1708.4,,
80,鄂尔多斯,MG,33.0,3605.0,,,3605.0,3605.0,,
81,锡林郭勒盟,MG,38.0,798.59,,,798.59,798.59,,
82,天津,NCP,2.0,（GDP）14104.28,2.0,258.81,（GDP）14104.28,14104.28,,
83,西安,NCP,275.0,[2]（GDP）9321.19,105.0,308.26,（GDP）9321.19,9321.19,,
84,郑州,NCP,145.0,11589.7,,,11589.7,11589.7,,
85,青岛,NCP,130.0,11741.31,60.0,253.0,11741.31,11741.31,,
86,北京,NCP,1.0,35371.3,1.0,497.4,35371.3,35371.3,,
87,济南,NCP,129.0,[2]9443.37,,,9443.37,9443.37,,
88,烟台,NCP,134.0,（GDP）初步核算数为7653.45,62.0,178.22,（GDP）初步核算数为7653.45,7653.45,,
89,石家庄,NCP,6.0,实现5809.9,6.0,258.9,实现5809.9,5809.9,,
90,临沂,NCP,140.0,4600.25,,,4600.25,4600.25,,
91,保定,NCP,11.0,完成3224.0,11.0,231.0,完成3224.0,3224.0,,
92,南阳,NCP,157.0,3814.98,,,3814.98,3814.98,,
93,咸阳,NCP,278.0,2195.33,,,2195.33,2195.33,,
94,唐山,NCP,7.0,6890.0,7.0,198.6,6890.0,6890.0,,
95,商丘,NCP,158.0,2911.20,,,2911.20,2911.20,,
96,威海,NCP,138.0,2963.73,,,2963.73,2963.73,,
97,廊坊,NCP,,,,,,,,
98,新乡,NCP,151.0,2918.18,,,2918.18,2918.18,,
99,沧州,NCP,14.0,（GDP）3588,,,（GDP）3588,3588,,
100,泰安,NCP,137.0,初步核算数据为2663.6,,,初步核算数据为2663.6,2663.6,,
101,洛阳,NCP,147.0,②突破5000,,,②突破5000,5000,,
102,济宁,NCP,136.0,完成（初步核算)4370.17,63.0,136.96,完成（初步核算)4370.17,4370.17,,
103,淄博,NCP,131.0,(GDP)实现3642.4,61.0,103.4,(GDP)实现3642.4,3642.4,,
104,潍坊,NCP,135.0,（GDP）5688.5,,,（GDP）5688.5,5688.5,,
105,秦皇岛,NCP,8.0,1612.02,8.0,66.02,1612.02,1612.02,,
106,连云港,NCP,72.0,3139.29,,,3139.29,3139.29,,
107,邯郸,NCP,9.0,3486.0,9.0,167.0,3486.0,3486.0,,
108,鞍山,NCP,41.0,1745.3,,,1745.3,1745.3,,
109,东营,NCP,133.0,（GDP）2916.19,,,（GDP）2916.19,2916.19,,
110,临汾,NCP,25.0,1452.6,19.0,66.7,1452.6,1452.6,,
111,亳州,NCP,104.0,（GDP）[2]1749.0,48.0,55.6,（GDP）1749.0,1749.0,,
112,即墨,NCP,,,,,,,,
113,周口,NCP,160.0,3198.49,,,3198.49,3198.49,,
114,大同,NCP,18.0,实现1318.8,13.0,65.3,实现1318.8,1318.8,,
115,安阳,NCP,149.0,2229.3,,,2229.3,2229.3,,
116,宝鸡,NCP,277.0,2223.81,,,2223.81,2223.81,,
117,寿光,NCP,,,,,,,,
118,平顶山,NCP,148.0,2372.64,,,2372.64,2372.64,,
119,开封,NCP,146.0,2364.14,,,2364.14,2364.14,,
120,张家口,NCP,12.0,实现1551.06,,,实现1551.06,1551.06,,
121,德州,NCP,,,,,,,,
122,承德,NCP,13.0,1471.0,,,1471.0,1471.0,,
123,日照,NCP,139.0,（GDP）初步核算数为1949.38,,,（GDP）初步核算数为1949.38,1949.38,,
124,晋中,NCP,22.0,1460.0,16.0,61.1,1460.0,1460.0,,
125,枣庄,NCP,132.0,（GDP）初步核算数为1693.91,,,（GDP）初步核算数为1693.91,1693.91,,
126,榆林,NCP,282.0,4136.28,,,4136.28,4136.28,,
127,渭南,NCP,279.0,1828.47,,,1828.47,1828.47,,
